id,part,qty,length_mm,width_mm,thickness_mm,material,grain,notes
Back-R-B1,Back-R · Back,1,782.0,574.0,6.0,back panel,none,rabbeted back
Back-R-D1,Back-R · Drawer front #1,1,604.0,200.0,18.0,door/front,length,overlay
Back-R-E1,Back-R · Drawer 1 box side,2,569.0,160.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-R-E2,Back-R · Drawer 1 box front/back,2,560.6,160.0,12.0,drawer box,none,
Back-R-E3,Back-R · Drawer 1 box bottom,1,584.6,569.0,6.0,back panel,none,captured in groove
Back-R-A4,Back-R · Drawer 1 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Back-R-D2,Back-R · Drawer front #2,1,604.0,240.0,18.0,door/front,length,overlay
Back-R-E4,Back-R · Drawer 2 box side,2,569.0,200.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-R-E5,Back-R · Drawer 2 box front/back,2,560.6,200.0,12.0,drawer box,none,
Back-R-E6,Back-R · Drawer 2 box bottom,1,584.6,569.0,6.0,back panel,none,captured in groove
Back-R-A5,Back-R · Drawer 2 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Back-R-D3,Back-R · Drawer front #3,1,604.0,250.0,18.0,door/front,length,overlay
Back-R-E7,Back-R · Drawer 3 box side,2,569.0,210.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-R-E8,Back-R · Drawer 3 box front/back,2,560.6,210.0,12.0,drawer box,none,
Back-R-E9,Back-R · Drawer 3 box bottom,1,584.6,569.0,6.0,back panel,none,captured in groove
Back-R-A6,Back-R · Drawer 3 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Back-M-A1,Back-M · Side,2,800.0,600.0,18.0,sheet,length,full-height gable
Back-M-A2,Back-M · Bottom,1,573.0,594.0,18.0,sheet,none,between sides
Back-M-A3,Back-M · Top stretcher,2,573.0,80.0,18.0,sheet,none,front & back top rail
Back-M-B1,Back-M · Back,1,782.0,573.0,6.0,back panel,none,rabbeted back
Back-M-D1,Back-M · Drawer front #1,1,603.0,150.0,18.0,door/front,length,overlay
Back-M-E1,Back-M · Drawer 1 box side,2,569.0,110.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-M-E2,Back-M · Drawer 1 box front/back,2,559.6,110.0,12.0,drawer box,none,
Back-M-E3,Back-M · Drawer 1 box bottom,1,583.6,569.0,6.0,back panel,none,captured in groove
Back-M-A4,Back-M · Drawer 1 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Back-M-D2,Back-M · Drawer front #2,1,603.0,210.0,18.0,door/front,length,overlay
Back-M-E4,Back-M · Drawer 2 box side,2,569.0,170.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-M-E5,Back-M · Drawer 2 box front/back,2,559.6,170.0,12.0,drawer box,none,
Back-M-E6,Back-M · Drawer 2 box bottom,1,583.6,569.0,6.0,back panel,none,captured in groove
Back-M-A5,Back-M · Drawer 2 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Back-M-D3,Back-M · Drawer front #3,1,603.0,330.0,18.0,door/front,length,overlay
Back-M-E7,Back-M · Drawer 3 box side,2,569.0,290.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-M-E8,Back-M · Drawer 3 box front/back,2,559.6,290.0,12.0,drawer box,none,
Back-M-E9,Back-M · Drawer 3 box bottom,1,583.6,569.0,6.0,back panel,none,captured in groove
Back-M-A6,Back-M · Drawer 3 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Back-L-A1,Back-L · Side,2,800.0,600.0,18.0,sheet,length,full-height gable
Back-L-A2,Back-L · Bottom,1,574.0,594.0,18.0,sheet,none,between sides
Back-L-A3,Back-L · Top stretcher,2,574.0,80.0,18.0,sheet,none,front & back top rail
Back-L-B1,Back-L · Back,1,782.0,574.0,6.0,back panel,none,rabbeted back
Back-L-D1,Back-L · Drawer front #1,1,604.0,180.0,18.0,door/front,length,overlay
Back-L-E1,Back-L · Drawer 1 box side,2,569.0,140.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-L-E2,Back-L · Drawer 1 box front/back,2,560.6,140.0,12.0,drawer box,none,
Back-L-E3,Back-L · Drawer 1 box bottom,1,584.6,569.0,6.0,back panel,none,captured in groove
Back-L-A4,Back-L · Drawer 1 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Back-L-D2,Back-L · Drawer front #2,1,604.0,240.0,18.0,door/front,length,overlay
Back-L-E4,Back-L · Drawer 2 box side,2,569.0,200.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-L-E5,Back-L · Drawer 2 box front/back,2,560.6,200.0,12.0,drawer box,none,
Back-L-E6,Back-L · Drawer 2 box bottom,1,584.6,569.0,6.0,back panel,none,captured in groove
Back-L-A5,Back-L · Drawer 2 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Back-L-D3,Back-L · Drawer front #3,1,604.0,270.0,18.0,door/front,length,overlay
Back-L-E7,Back-L · Drawer 3 box side,2,569.0,230.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-L-E8,Back-L · Drawer 3 box front/back,2,560.6,230.0,12.0,drawer box,none,
Back-L-E9,Back-L · Drawer 3 box bottom,1,584.6,569.0,6.0,back panel,none,captured in groove
Back-L-A6,Back-L · Drawer 3 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
CT1,Run countertop,1,1829.0,1219.0,40.0,countertop,length,solid continuous worktop spanning the base footprint; 25mm overhang
