id,part,operation,u_mm,v_mm,dia_mm,depth_mm,note
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 1,550.0,697.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 2,37.0,474.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 2,300.0,474.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 2,550.0,474.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 3,37.0,226.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 3,300.0,226.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 3,550.0,226.0,4.0,12.0,
Back-R-A1,Back-R · Side R,wood runner screws — Drawer front 1,37.0,697.0,4.0,12.0,
Back-R-A1,Back-R · Side R,wood runner screws — Drawer front 1,300.0,697.0,4.0,12.0,
Back-R-A1,Back-R · Side R,wood runner screws — Drawer front 1,550.0,697.0,4.0,12.0,
Back-R-A1,Back-R · Side R,wood runner screws — Drawer front 2,37.0,474.0,4.0,12.0,
Back-R-A1,Back-R · Side R,wood runner screws — Drawer front 2,300.0,474.0,4.0,12.0,
Back-R-A1,Back-R · Side R,wood runner screws — Drawer front 2,550.0,474.0,4.0,12.0,
Back-R-A1,Back-R · Side R,wood runner screws — Drawer front 3,37.0,226.0,4.0,12.0,
Back-R-A1,Back-R · Side R,wood runner screws — Drawer front 3,300.0,226.0,4.0,12.0,
Back-R-A1,Back-R · Side R,wood runner screws — Drawer front 3,550.0,226.0,4.0,12.0,
Back-M-A1,Back-M · Side L,wood runner screws — Drawer front 1,37.0,722.0,4.0,12.0,
Back-M-A1,Back-M · Side L,wood runner screws — Drawer front 1,300.0,722.0,4.0,12.0,
Back-M-A1,Back-M · Side L,wood runner screws — Drawer front 1,550.0,722.0,4.0,12.0,
Back-M-A1,Back-M · Side L,wood runner screws — Drawer front 2,37.0,539.0,4.0,12.0,
Back-M-A1,Back-M · Side L,wood runner screws — Drawer front 2,300.0,539.0,4.0,12.0,
Back-M-A1,Back-M · Side L,wood runner screws — Drawer front 2,550.0,539.0,4.0,12.0,
Back-M-A1,Back-M · Side L,wood runner screws — Drawer front 3,37.0,266.0,4.0,12.0,
Back-M-A1,Back-M · Side L,wood runner screws — Drawer front 3,300.0,266.0,4.0,12.0,
Back-M-A1,Back-M · Side L,wood runner screws — Drawer front 3,550.0,266.0,4.0,12.0,
Back-M-A1,Back-M · Side R,wood runner screws — Drawer front 1,37.0,722.0,4.0,12.0,
Back-M-A1,Back-M · Side R,wood runner screws — Drawer front 1,300.0,722.0,4.0,12.0,
Back-M-A1,Back-M · Side R,wood runner screws — Drawer front 1,550.0,722.0,4.0,12.0,
Back-M-A1,Back-M · Side R,wood runner screws — Drawer front 2,37.0,539.0,4.0,12.0,
Back-M-A1,Back-M · Side R,wood runner screws — Drawer front 2,300.0,539.0,4.0,12.0,
Back-M-A1,Back-M · Side R,wood runner screws — Drawer front 2,550.0,539.0,4.0,12.0,
Back-M-A1,Back-M · Side R,wood runner screws — Drawer front 3,37.0,266.0,4.0,12.0,
Back-M-A1,Back-M · Side R,wood runner screws — Drawer front 3,300.0,266.0,4.0,12.0,
Back-M-A1,Back-M · Side R,wood runner screws — Drawer front 3,550.0,266.0,4.0,12.0,
Back-L-A1,Back-L · Side L,wood runner screws — Drawer front 1,37.0,707.0,4.0,12.0,
Back-L-A1,Back-L · Side L,wood runner screws — Drawer front 1,300.0,707.0,4.0,12.0,
Back-L-A1,Back-L · Side L,wood runner screws — Drawer front 1,550.0,707.0,4.0,12.0,
Back-L-A1,Back-L · Side L,wood runner screws — Drawer front 2,37.0,494.0,4.0,12.0,
Back-L-A1,Back-L · Side L,wood runner screws — Drawer front 2,300.0,494.0,4.0,12.0,
Back-L-A1,Back-L · Side L,wood runner screws — Drawer front 2,550.0,494.0,4.0,12.0,
Back-L-A1,Back-L · Side L,wood runner screws — Drawer front 3,37.0,236.0,4.0,12.0,
Back-L-A1,Back-L · Side L,wood runner screws — Drawer front 3,300.0,236.0,4.0,12.0,
Back-L-A1,Back-L · Side L,wood runner screws — Drawer front 3,550.0,236.0,4.0,12.0,
Back-L-A1,Back-L · Side R,wood runner screws — Drawer front 1,37.0,707.0,4.0,12.0,
Back-L-A1,Back-L · Side R,wood runner screws — Drawer front 1,300.0,707.0,4.0,12.0,
Back-L-A1,Back-L · Side R,wood runner screws — Drawer front 1,550.0,707.0,4.0,12.0,
Back-L-A1,Back-L · Side R,wood runner screws — Drawer front 2,37.0,494.0,4.0,12.0,
Back-L-A1,Back-L · Side R,wood runner screws — Drawer front 2,300.0,494.0,4.0,12.0,
Back-L-A1,Back-L · Side R,wood runner screws — Drawer front 2,550.0,494.0,4.0,12.0,
Back-L-A1,Back-L · Side R,wood runner screws — Drawer front 3,37.0,236.0,4.0,12.0,
Back-L-A1,Back-L · Side R,wood runner screws — Drawer front 3,300.0,236.0,4.0,12.0,
Back-L-A1,Back-L · Side R,wood runner screws — Drawer front 3,550.0,236.0,4.0,12.0,
